iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha
1,0.0,1.0,6.0,8.0,8.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0
2,0.0,0.25,7.0,5.0,8.0,10.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0
3,0.0,0.0,8.0,9.0,9.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0
4,0.0,0.25,7.0,8.0,7.0,9.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0
5,0.0,0.25,6.0,3.0,10.0,6.0,8.0,20.0,5.0,25.0,25.0,10.0,15.0
6,0.0,0.0,5.0,7.0,9.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0
7,0.0,0.0,6.0,6.0,7.0,5.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0
8,0.0,0.75,7.0,4.0,8.0,8.0,8.0,9.09,18.18,27.27,18.18,18.18,9.09
10,0.0,0.125,6.0,8.0,6.0,10.0,9.0,15.0,15.0,15.0,40.0,10.0,5.0
11,1.0,0.0,8.0,9.0,8.0,7.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0
12,1.0,0.16666666666666666,9.0,9.0,10.0,9.0,9.0,60.0,0.0,0.0,40.0,0.0,0.0
13,1.0,0.3333333333333333,4.0,7.0,8.0,8.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0
14,1.0,0.6666666666666666,9.0,9.0,9.0,9.0,9.0,30.0,5.0,15.0,40.0,5.0,5.0
16,1.0,0.16666666666666666,6.0,6.0,8.0,8.0,6.0,50.0,0.0,30.0,10.0,0.0,10.0
17,1.0,0.0,7.0,7.0,8.0,6.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0
18,1.0,0.16666666666666666,6.0,8.0,8.0,6.0,9.0,33.33,11.11,11.11,11.11,11.11,22.22
19,1.0,0.8333333333333334,10.0,6.0,10.0,10.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0
20,1.0,0.16666666666666666,7.0,7.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,5.0,9.0,9.0,7.0,10.0,12.0,18.0,20.0,16.0,16.0,18.0
22,0.0,0.0,7.0,8.0,8.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0
23,0.0,0.0,5.0,8.0,7.0,6.0,8.0,10.0,20.0,40.0,10.0,10.0,10.0
24,0.0,0.0,7.0,9.0,8.0,9.0,8.0,10.0,20.0,20.0,15.0,20.0,15.0
25,0.0,0.0,7.0,9.0,8.0,7.0,6.0,20.0,20.0,15.0,15.0,15.0,15.0
26,0.0,0.0,7.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,15.0,15.0,10.0
29,0.0,0.2,6.0,9.0,7.0,8.0,8.0,20.0,22.0,18.0,15.0,15.0,10.0
30,0.0,0.0,7.0,8.0,8.0,9.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0
31,0.0,0.1,8.0,8.0,8.0,9.0,9.0,35.0,10.0,20.0,20.0,10.0,5.0
32,0.0,0.0,7.0,5.0,9.0,9.0,7.0,50.0,0.0,50.0,0.0,0.0,0.0
33,0.0,0.0,6.0,8.0,8.0,6.0,8.0,30.0,20.0,30.0,10.0,0.0,10.0
34,0.0,0.25,7.0,7.0,7.0,7.0,8.0,30.0,5.0,30.0,15.0,15.0,5.0
35,0.0,0.3,8.0,9.0,9.0,9.0,7.0,20.0,23.0,23.0,22.0,7.0,5.0
36,0.0,0.1,8.0,7.0,8.0,8.0,6.0,20.0,25.0,20.0,15.0,15.0,5.0
37,0.0,0.2,7.0,8.0,9.0,7.0,5.0,10.0,10.0,30.0,25.0,10.0,15.0
38,0.0,1.0,8.0,2.0,8.0,7.0,8.0,50.0,10.0,20.0,10.0,10.0,0.0
40,1.0,0.0,3.0,10.0,9.0,8.0,5.0,25.0,20.0,25.0,20.0,10.0,0.0
41,1.0,0.0,5.0,7.0,8.0,5.0,5.0,30.0,20.0,10.0,30.0,0.0,10.0
42,1.0,0.0,6.0,9.0,8.0,6.0,4.0,20.0,25.0,20.0,15.0,10.0,10.0
43,1.0,0.0,3.0,8.0,7.0,3.0,2.0,25.0,35.0,30.0,10.0,0.0,0.0
44,1.0,0.2,7.0,9.0,9.0,8.0,9.0,25.0,15.0,25.0,25.0,15.0,15.0
45,1.0,0.2,7.0,8.0,8.0,6.0,7.0,25.0,15.0,25.0,15.0,0.0,20.0
46,1.0,0.1,7.0,8.0,7.0,5.0,7.0,20.0,35.0,20.0,10.0,10.0,5.0
47,1.0,0.0,8.0,7.0,9.0,9.0,3.0,20.0,20.0,25.0,25.0,5.0,5.0
48,1.0,0.1,7.0,9.0,7.0,6.0,6.0,30.0,15.0,25.0,25.0,5.0,0.0
49,1.0,0.25,7.0,10.0,10.0,10.0,8.0,20.0,20.0,20.0,20.0,5.0,15.0
50,1.0,0.5,8.0,9.0,10.0,9.0,8.0,35.0,10.0,20.0,15.0,10.0,10.0
51,1.0,0.1,6.0,8.0,10.0,2.0,2.0,25.0,10.0,35.0,15.0,0.0,15.0
52,1.0,0.1,5.0,8.0,8.0,6.0,7.0,15.0,20.0,15.0,30.0,5.0,15.0
53,1.0,0.1,8.0,9.0,8.0,8.0,8.0,40.0,15.0,20.0,10.0,5.0,10.0
54,1.0,0.0,8.0,9.0,8.0,8.0,8.0,40.0,20.0,20.0,20.0,0.0,0.0
55,1.0,0.5,6.0,10.0,9.0,10.0,10.0,20.0,25.0,25.0,10.0,10.0,10.0
56,0.0,0.3333333333333333,10.0,10.0,8.0,9.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0
57,0.0,0.16666666666666666,6.0,10.0,9.0,10.0,10.0,10.0,20.0,20.0,20.0,15.0,15.0
60,0.0,0.0,7.0,9.0,9.0,9.0,9.0,5.0,20.0,25.0,15.0,15.0,20.0
61,0.0,0.16666666666666666,7.0,10.0,10.0,7.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0
62,0.0,0.0,9.0,9.0,9.0,9.0,9.0,30.0,10.0,20.0,20.0,10.0,10.0
65,0.0,0.0,7.0,9.0,8.0,9.0,9.0,17.0,17.0,17.0,17.0,17.0,15.0
66,1.0,0.0,6.0,7.0,8.0,7.0,8.0,20.0,25.0,15.0,15.0,53.0,20.0
67,1.0,0.0,5.0,7.0,7.0,6.0,7.0,20.0,15.0,20.0,20.0,5.0,10.0
69,1.0,0.3333333333333333,5.0,9.0,8.0,5.0,8.0,50.0,10.0,30.0,10.0,0.0,0.0
70,1.0,0.3333333333333333,8.0,6.0,9.0,8.0,6.0,25.0,10.0,20.0,20.0,15.0,10.0
71,1.0,0.6666666666666666,6.0,8.0,10.0,8.0,10.0,60.0,15.0,0.0,15.0,0.0,10.0
72,1.0,0.0,7.0,9.0,8.0,8.0,8.0,21.0,20.0,19.0,20.0,10.0,10.0
73,1.0,0.0,7.0,7.0,7.0,8.0,8.0,30.0,10.0,20.0,30.0,0.0,10.0
74,1.0,0.0,7.0,9.0,8.0,9.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0
75,1.0,0.0,7.0,7.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0
76,0.0,0.2,6.0,6.0,8.0,6.0,4.0,10.0,10.0,30.0,20.0,10.0,20.0
77,0.0,0.4,6.0,8.0,8.0,8.0,8.0,15.0,20.0,20.0,20.0,15.0,10.0
78,0.0,0.5,3.0,10.0,8.0,3.0,8.0,10.0,25.0,20.0,10.0,20.0,15.0
79,0.0,0.0,7.0,9.0,7.0,8.0,7.0,10.0,20.0,15.0,20.0,20.0,15.0
80,0.0,0.25,8.0,8.0,8.0,8.0,8.0,10.0,20.0,20.0,10.0,20.0,20.0
81,0.0,0.3,8.0,7.0,7.0,8.0,7.0,10.0,10.0,20.0,20.0,20.0,20.0
82,0.0,0.0,8.0,9.0,8.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0
83,0.0,0.0,5.0,9.0,5.0,9.0,5.0,10.0,32.0,20.0,12.0,11.0,15.0
84,0.0,0.0,7.0,9.0,8.0,7.0,5.0,30.0,30.0,30.0,5.0,0.0,5.0
85,0.0,0.1,7.0,9.0,8.0,9.0,9.0,20.0,25.0,15.0,15.0,15.0,10.0
86,0.0,0.5,7.0,9.0,9.0,9.0,4.0,15.0,20.0,20.0,20.0,5.0,20.0
87,0.0,0.2,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,15.0,20.0
88,0.0,0.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,20.0,15.0
89,0.0,0.2,8.0,9.0,9.0,8.0,10.0,25.0,15.0,20.0,20.0,20.0,0.0
90,0.0,0.25,5.0,8.0,7.0,5.0,5.0,15.0,21.0,18.0,18.0,10.0,18.0
91,0.0,0.0,6.0,7.0,9.0,7.0,8.0,15.0,3.0,50.0,20.0,2.0,10.0
92,0.0,0.5,9.0,10.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0
93,0.0,0.3,8.0,8.0,8.0,8.0,7.0,14.0,20.0,18.0,24.0,18.0,6.0
94,1.0,0.0,6.0,9.0,9.0,9.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0
95,1.0,0.1,7.0,9.0,10.0,8.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0
96,1.0,0.0,7.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,22.0,6.0,22.0
97,1.0,0.4,7.0,5.0,6.0,7.0,6.0,50.0,7.0,20.0,23.0,0.0,0.0
98,1.0,0.2,8.0,8.0,8.0,8.0,8.0,40.0,20.0,15.0,20.0,0.0,5.0
99,1.0,0.5,10.0,10.0,10.0,10.0,8.0,30.0,30.0,20.0,10.0,10.0,0.0
100,1.0,0.0,7.0,8.0,9.0,8.0,6.0,20.0,25.0,25.0,15.0,5.0,10.0
101,1.0,0.0,8.0,8.0,9.0,8.0,9.0,40.0,8.0,10.0,12.0,10.0,20.0
102,1.0,0.0,8.0,5.0,10.0,7.0,9.0,30.0,10.0,30.0,20.0,10.0,0.0
103,1.0,0.0,8.0,8.0,9.0,8.0,9.0,40.0,5.0,20.0,10.0,10.0,15.0
104,1.0,0.4,9.0,8.0,9.0,7.0,9.0,20.0,15.0,25.0,15.0,20.0,5.0
106,1.0,0.3333333333333333,4.0,7.0,9.0,3.0,2.0,10.0,20.0,35.0,10.0,5.0,20.0
107,1.0,0.6,7.0,9.0,9.0,9.0,6.0,19.0,24.0,21.0,23.0,5.0,8.0
108,1.0,0.2,4.0,8.0,7.0,3.0,2.0,10.0,20.0,35.0,20.0,0.0,15.0
109,1.0,0.6666666666666666,6.0,9.0,9.0,8.0,8.0,15.0,10.0,30.0,10.0,5.0,30.0
110,1.0,0.3,7.0,9.0,8.0,8.0,7.0,20.0,20.0,15.0,15.0,5.0,25.0
111,1.0,0.0,5.0,8.0,8.0,5.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0
112,0.0,1.0,9.0,10.0,9.0,9.0,9.0,15.0,15.0,20.0,25.0,10.0,15.0
113,0.0,0.75,8.0,10.0,8.0,10.0,9.0,15.0,15.0,25.0,25.0,15.0,5.0
115,0.0,0.75,8.0,7.0,9.0,8.0,8.0,20.0,10.0,30.0,20.0,15.0,5.0
116,0.0,0.5,8.0,9.0,9.0,8.0,9.0,15.0,15.0,25.0,25.0,20.0,0.0
117,0.0,0.25,8.0,7.0,8.0,8.0,8.0,20.0,10.0,20.0,20.0,20.0,10.0
121,0.0,0.0,2.0,9.0,7.0,9.0,9.0,35.0,15.0,5.0,30.0,15.0,0.0
122,1.0,1.0,7.0,10.0,8.0,8.0,8.0,40.0,15.0,10.0,20.0,5.0,10.0
125,1.0,0.8,9.0,6.0,9.0,10.0,10.0,20.0,15.0,20.0,15.0,12.0,18.0
126,1.0,0.2,9.0,10.0,9.0,9.0,9.0,25.0,40.0,15.0,10.0,5.0,5.0
127,1.0,0.4,8.0,8.0,9.0,9.0,8.0,25.0,25.0,25.0,15.0,5.0,5.0
128,1.0,0.4,8.0,7.0,8.0,7.0,7.0,40.0,15.0,10.0,20.0,10.0,5.0
132,0.0,0.5,8.0,10.0,9.0,10.0,10.0,16.67,16.67,16.67,16.67,16.67,16.67
133,0.0,0.0,6.0,8.0,8.0,7.0,7.0,12.77,19.15,17.02,17.02,14.89,19.15
134,0.0,0.0,7.0,8.0,8.0,8.0,8.0,6.67,20.0,20.0,17.78,20.0,15.56
135,0.0,0.5,9.0,10.0,9.0,7.0,6.0,18.18,22.73,18.18,13.64,13.64,13.64
137,1.0,0.0,7.0,9.0,9.0,8.0,8.0,17.39,17.39,15.22,17.39,13.04,19.57
138,1.0,0.0,8.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,6.669999999999999,13.33
139,1.0,0.0,8.0,8.0,9.0,9.0,6.0,18.75,16.67,18.75,20.83,12.5,12.5
140,1.0,0.6666666666666666,7.0,7.0,8.0,9.0,8.0,18.6,16.28,18.6,18.6,11.63,16.28
142,0.0,0.5454545454545454,9.0,9.0,10.0,9.0,7.0,14.29,14.29,21.43,21.43,19.05,9.52
143,0.0,0.0,7.0,10.0,8.0,7.0,7.0,8.33,20.83,20.83,14.58,16.67,18.75
144,0.0,0.0,7.0,8.0,9.0,8.0,9.0,16.0,16.0,16.0,18.0,18.0,16.0
145,0.0,0.0,5.0,5.0,9.0,7.0,7.0,11.36,18.18,22.73,18.18,11.36,18.18
146,0.0,0.09090909090909091,8.0,8.0,8.0,8.0,8.0,18.18,18.18,18.18,18.18,13.640000000000002,13.640000000000002
147,0.0,0.0,8.0,7.0,9.0,8.0,7.0,18.0,18.0,20.0,18.0,16.0,10.0
148,0.0,0.0,8.0,9.0,9.0,9.0,8.0,15.089999999999998,16.98,16.98,18.87,18.87,13.21
