,id,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr,sinc,intel,fun,amb,shar,like,condtn,round,int_corr,age_o,age,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,group
2,1.0,1,13.0,1,0,1,6.0,8.0,8.0,8.0,7.0,19.0,18.0,19.0,18.0,14.0,12.0,5.0,8.0,9.0,8.0,5.0,7.0,7.0,1,10,0.16,22.0,21.0,15.0,20.0,20.0,15.0,15.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,35.0,20.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
10,2.0,2,11.0,1,0,0,7.0,5.0,8.0,10.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,1,10,0.29,27.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
11,2.0,2,12.0,1,0,0,7.0,5.0,8.0,10.0,3.0,60.0,0.0,0.0,40.0,0.0,0.0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,1,10,0.18,22.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
13,2.0,2,14.0,1,0,1,7.0,5.0,8.0,10.0,3.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,9.0,7.0,6.0,5.0,7.0,7.0,1,10,-0.21,23.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
15,2.0,2,16.0,1,0,0,7.0,5.0,8.0,10.0,3.0,50.0,0.0,30.0,10.0,0.0,10.0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,1,10,0.73,25.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
16,2.0,2,17.0,1,0,0,7.0,5.0,8.0,10.0,3.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,5.0,9.0,6.0,7.0,9.0,8.0,1,10,0.6,30.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
17,2.0,2,18.0,1,0,0,7.0,5.0,8.0,10.0,3.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,8.0,7.0,5.0,9.0,5.0,5.0,1,10,0.07,27.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
18,2.0,2,19.0,1,0,1,7.0,5.0,8.0,10.0,3.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,6.0,8.0,9.0,4.0,5.0,5.0,1,10,0.11,28.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
19,2.0,2,20.0,1,0,0,7.0,5.0,8.0,10.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,1,10,0.39,24.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
20,3.0,3,11.0,1,0,0,8.0,9.0,9.0,8.0,8.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,1,10,-0.24,27.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
21,3.0,3,12.0,1,0,0,8.0,9.0,9.0,8.0,8.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,1,10,-0.14,22.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
23,3.0,3,14.0,1,0,0,8.0,9.0,9.0,8.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,1,10,-0.04,23.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
25,3.0,3,16.0,1,0,0,8.0,9.0,9.0,8.0,8.0,50.0,0.0,30.0,10.0,0.0,10.0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,1,10,-0.3,25.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
26,3.0,3,17.0,1,0,0,8.0,9.0,9.0,8.0,8.0,35.0,15.0,25.0,10.0,5.0,10.0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,1,10,-0.26,30.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
27,3.0,3,18.0,1,0,0,8.0,9.0,9.0,8.0,8.0,33.33,11.11,11.11,11.11,11.11,22.22,7.0,9.0,9.0,8.0,9.0,7.0,8.0,1,10,0.29,27.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
28,3.0,3,19.0,1,0,0,8.0,9.0,9.0,8.0,8.0,50.0,0.0,25.0,10.0,0.0,15.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,10,-0.15,28.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
29,3.0,3,20.0,1,0,0,8.0,9.0,9.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,1,10,-0.47,24.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,0.0,20.0,30.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1
30,4.0,4,11.0,1,0,0,7.0,8.0,7.0,9.0,8.0,35.0,20.0,20.0,20.0,0.0,5.0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,1,10,-0.18,27.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
31,4.0,4,12.0,1,0,0,7.0,8.0,7.0,9.0,8.0,60.0,0.0,0.0,40.0,0.0,0.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1,10,-0.18,22.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
33,4.0,4,14.0,1,0,1,7.0,8.0,7.0,9.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,8.0,10.0,7.0,10.0,7.0,10.0,8.0,1,10,-0.18,23.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
35,4.0,4,16.0,1,0,0,7.0,8.0,7.0,9.0,8.0,50.0,0.0,30.0,10.0,0.0,10.0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,1,10,0.37,25.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
36,4.0,4,17.0,1,0,0,7.0,8.0,7.0,9.0,8.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1,10,0.35,30.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
37,4.0,4,18.0,1,0,0,7.0,8.0,7.0,9.0,8.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,9.0,9.0,5.0,9.0,7.0,6.0,1,10,0.15,27.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
38,4.0,4,19.0,1,0,1,7.0,8.0,7.0,9.0,8.0,50.0,0.0,25.0,10.0,0.0,15.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,1,10,-0.47,28.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
