,id,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr,sinc,intel,fun,amb,shar,like,group
2410,1.0,174,186.0,8,0,0,9.0,10.0,8.0,8.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2
2417,1.0,174,193.0,8,0,0,9.0,10.0,8.0,8.0,6.0,20.93,16.28,23.26,16.28,11.63,11.63,6.0,5.0,6.0,7.0,7.0,7.0,7.0,2
2423,2.0,175,189.0,8,0,0,7.0,10.0,8.0,8.0,9.0,16.98,16.98,16.98,16.98,16.98,15.09,4.0,7.0,7.0,6.0,6.0,7.0,7.0,2
2429,3.0,176,185.0,8,0,0,6.0,9.0,8.0,7.0,6.0,16.98,15.09,16.98,16.98,18.87,15.09,6.0,5.0,6.0,6.0,7.0,4.0,6.0,2
2430,3.0,176,186.0,8,0,1,6.0,9.0,8.0,7.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,7.0,8.0,7.0,6.0,5.0,6.0,7.0,2
2437,3.0,176,193.0,8,0,0,6.0,9.0,8.0,7.0,6.0,20.93,16.28,23.26,16.28,11.63,11.63,7.0,8.0,8.0,6.0,7.0,6.0,7.0,2
2438,4.0,177,184.0,8,0,0,9.0,9.0,9.0,8.0,9.0,16.67,16.67,16.67,16.67,16.67,16.67,5.0,7.0,7.0,5.0,6.0,5.0,6.0,2
2442,4.0,177,188.0,8,0,0,9.0,9.0,9.0,8.0,9.0,15.56,11.11,22.22,15.56,20.0,15.56,1.0,6.0,6.0,3.0,4.0,2.0,3.0,2
2444,4.0,177,190.0,8,0,0,9.0,9.0,9.0,8.0,9.0,15.56,20.0,20.0,20.0,13.33,11.11,6.0,7.0,7.0,8.0,8.0,3.0,7.0,2
2445,4.0,177,191.0,8,0,0,9.0,9.0,9.0,8.0,9.0,20.45,20.45,20.45,18.18,18.18,2.27,7.0,7.0,7.0,6.0,8.0,7.0,7.0,2
2446,4.0,177,192.0,8,0,0,9.0,9.0,9.0,8.0,9.0,19.57,19.57,15.22,17.39,15.22,13.04,7.0,7.0,8.0,8.0,8.0,7.0,7.0,2
2469,7.0,180,185.0,8,0,0,9.0,9.0,9.0,10.0,9.0,16.98,15.09,16.98,16.98,18.87,15.09,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2
2470,7.0,180,186.0,8,0,0,9.0,9.0,9.0,10.0,9.0,19.44,19.44,22.22,16.67,11.11,11.11,6.0,7.0,7.0,5.0,5.0,6.0,7.0,2
2477,7.0,180,193.0,8,0,0,9.0,9.0,9.0,10.0,9.0,20.93,16.28,23.26,16.28,11.63,11.63,7.0,7.0,7.0,8.0,6.0,5.0,6.0,2
2498,10.0,183,184.0,8,0,1,9.0,7.0,9.0,9.0,7.0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,9.0,9.0,7.0,6.0,9.0,7.0,2
2501,10.0,183,187.0,8,0,0,9.0,7.0,9.0,9.0,7.0,16.98,16.98,18.87,16.98,13.21,16.98,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2
2502,10.0,183,188.0,8,0,0,9.0,7.0,9.0,9.0,7.0,15.56,11.11,22.22,15.56,20.0,15.56,6.0,7.0,7.0,7.0,7.0,6.0,5.0,2
2504,10.0,183,190.0,8,0,0,9.0,7.0,9.0,9.0,7.0,15.56,20.0,20.0,20.0,13.33,11.11,7.0,7.0,7.0,9.0,9.0,9.0,9.0,2
2505,10.0,183,191.0,8,0,0,9.0,7.0,9.0,9.0,7.0,20.45,20.45,20.45,18.18,18.18,2.27,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2
2506,10.0,183,192.0,8,0,0,9.0,7.0,9.0,9.0,7.0,19.57,19.57,15.22,17.39,15.22,13.04,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2
2511,1.0,184,177.0,8,1,0,6.0,10.0,9.0,7.0,5.0,15.09,16.98,16.98,16.98,18.87,15.09,8.0,10.0,10.0,10.0,10.0,10.0,9.0,2
2517,1.0,184,183.0,8,1,1,6.0,10.0,9.0,7.0,5.0,20.0,22.5,17.5,22.5,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2
2518,2.0,185,174.0,8,1,0,10.0,10.0,8.0,7.0,8.0,9.52,23.81,16.67,16.67,16.67,16.67,6.0,6.0,7.0,6.0,5.0,8.0,7.0,2
2520,2.0,185,176.0,8,1,0,10.0,10.0,8.0,7.0,8.0,13.04,21.74,19.57,17.39,15.22,13.04,3.0,8.0,8.0,4.0,7.0,6.0,2.0,2
2522,2.0,185,178.0,8,1,0,10.0,10.0,8.0,7.0,8.0,15.22,17.39,17.39,17.39,15.22,17.39,3.0,7.0,7.0,6.0,8.0,9.0,7.0,2
2524,2.0,185,180.0,8,1,0,10.0,10.0,8.0,7.0,8.0,15.38,17.31,17.31,19.23,13.46,17.31,9.0,10.0,8.0,8.0,8.0,5.0,9.0,2
2530,3.0,186,176.0,8,1,1,4.0,8.0,7.0,4.0,6.0,13.04,21.74,19.57,17.39,15.22,13.04,8.0,7.0,7.0,6.0,7.0,8.0,7.0,2
2551,5.0,188,177.0,8,1,0,7.0,5.0,10.0,7.0,10.0,15.09,16.98,16.98,16.98,18.87,15.09,3.0,4.0,5.0,5.0,5.0,5.0,2.0,2
2557,5.0,188,183.0,8,1,0,7.0,5.0,10.0,7.0,10.0,20.0,22.5,17.5,22.5,10.0,7.5,4.0,5.0,5.0,5.0,5.0,5.0,3.0,2
2559,6.0,189,175.0,8,1,0,8.0,8.0,8.0,8.0,9.0,12.24,20.41,16.33,14.29,20.41,16.33,6.0,6.0,5.0,5.0,4.0,5.0,6.0,2
2577,7.0,190,183.0,8,1,0,7.0,7.0,7.0,7.0,7.0,20.0,22.5,17.5,22.5,10.0,7.5,8.0,3.0,8.0,8.0,4.0,1.0,6.0,2
2581,8.0,191,177.0,8,1,0,7.0,7.0,7.0,6.0,8.0,15.09,16.98,16.98,16.98,18.87,15.09,5.0,7.0,7.0,6.0,6.0,6.0,5.0,2
