iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like
174,0.0,0.0,9.0,10.0,8.0,8.0,6.0,9.52,23.81,16.67,16.67,16.67,16.67,4.5,7.5,7.0,5.5,5.5,7.0,7.0
175,0.0,0.0,7.0,10.0,8.0,8.0,9.0,12.24,20.41,16.33,14.29,20.41,16.33,6.0,6.0,5.0,5.0,4.0,5.0,6.0
176,0.0,0.3333333333333333,6.0,9.0,8.0,7.0,6.0,13.04,21.74,19.57,17.39,15.22,13.04,5.666666666666667,8.0,8.0,4.333333333333333,7.666666666666667,6.666666666666667,4.666666666666667
177,0.0,0.0,9.0,9.0,9.0,8.0,9.0,15.09,16.98,16.98,16.98,18.87,15.09,5.5,7.25,7.0,7.0,7.5,6.25,5.5
180,0.0,0.0,9.0,9.0,9.0,10.0,9.0,15.38,17.31,17.31,19.23,13.46,17.31,8.0,9.0,8.0,7.0,7.5,6.5,8.5
183,0.0,0.2,9.0,7.0,9.0,9.0,7.0,20.0,22.5,17.5,22.5,10.0,7.5,6.4,6.4,7.2,6.8,6.0,5.6,6.0
184,1.0,0.5,6.0,10.0,9.0,7.0,5.0,16.67,16.67,16.67,16.67,16.67,16.67,6.5,8.0,8.0,6.0,6.0,7.0,6.5
185,1.0,0.0,10.0,10.0,8.0,7.0,8.0,16.98,15.09,16.98,16.98,18.87,15.09,5.0,4.5,5.0,4.5,5.0,3.5,4.5
186,1.0,1.0,4.0,8.0,7.0,4.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,6.0,6.666666666666667,6.666666666666667,5.666666666666667,5.333333333333333,6.0,6.666666666666667
188,1.0,0.0,7.0,5.0,10.0,7.0,10.0,15.56,11.11,22.22,15.56,20.0,15.56,3.5,6.5,6.5,5.0,5.5,4.0,4.0
189,1.0,0.0,8.0,8.0,8.0,8.0,9.0,16.98,16.98,16.98,16.98,16.98,15.09,4.0,7.0,7.0,6.0,6.0,7.0,7.0
190,1.0,0.0,7.0,7.0,7.0,7.0,7.0,15.56,20.0,20.0,20.0,13.33,11.11,6.5,7.0,7.0,8.5,8.5,6.0,8.0
191,1.0,0.0,7.0,7.0,7.0,6.0,8.0,20.45,20.45,20.45,18.18,18.18,2.27,7.0,7.0,7.0,6.5,7.5,7.0,7.0
192,1.0,0.0,7.0,10.0,9.0,9.0,10.0,19.57,19.57,15.22,17.39,15.22,13.04,7.5,7.5,8.0,8.0,8.0,7.5,7.5
193,1.0,0.0,7.0,9.0,10.0,5.0,7.0,20.93,16.28,23.26,16.28,11.63,11.63,6.666666666666667,6.666666666666667,7.0,7.0,6.666666666666667,6.0,6.666666666666667
194,0.0,0.0,9.0,10.0,10.0,8.0,10.0,16.0,16.0,20.0,16.0,18.0,14.0,4.416666666666667,6.083333333333333,5.833333333333333,4.833333333333333,5.25,4.416666666666667,4.666666666666667
195,0.0,0.15384615384615385,9.0,8.0,10.0,10.0,8.0,15.379999999999999,19.23,19.23,19.23,13.46,13.46,6.846153846153846,6.6923076923076925,7.461538461538462,6.769230769230769,5.769230769230769,5.461538461538462,6.384615384615385
196,0.0,0.0,9.0,9.0,9.0,9.0,9.0,17.65,17.65,17.65,15.69,15.69,15.69,5.666666666666667,6.666666666666667,5.333333333333333,3.6666666666666665,3.6666666666666665,4.0,4.666666666666667
197,0.0,0.0,7.0,8.0,9.0,9.0,7.0,14.0,18.0,20.0,18.0,16.0,14.0,8.0,8.0,7.0,8.0,9.0,10.0,9.0
198,0.0,0.0,7.0,9.0,9.0,7.0,7.0,15.38,19.23,17.31,19.23,9.62,19.23,4.0,7.0,6.0,4.0,6.666666666666667,3.6666666666666665,3.6666666666666665
199,0.0,0.23076923076923078,9.0,7.0,9.0,7.0,9.0,17.5,17.5,20.0,12.5,20.0,12.5,7.384615384615385,5.846153846153846,6.6923076923076925,6.076923076923077,5.846153846153846,6.076923076923077,6.615384615384615
201,0.0,1.0,7.0,8.0,9.0,9.0,8.0,15.379999999999999,17.31,17.31,17.31,17.31,15.379999999999999,6.538461538461538,7.153846153846154,7.076923076923077,6.230769230769231,5.769230769230769,5.384615384615385,6.0
202,0.0,0.07692307692307693,7.0,10.0,10.0,9.0,8.0,15.379999999999999,19.23,19.23,19.23,15.379999999999999,11.54,5.769230769230769,6.769230769230769,7.769230769230769,6.230769230769231,6.384615384615385,5.153846153846154,5.538461538461538
203,0.0,0.0,9.0,8.0,10.0,9.0,7.0,16.0,20.0,18.0,20.0,18.0,8.0,6.923076923076923,7.384615384615385,8.076923076923077,6.615384615384615,6.153846153846154,5.538461538461538,6.615384615384615
204,0.0,0.0,9.0,5.0,10.0,9.0,10.0,19.61,15.69,17.65,15.69,17.65,13.73,5.6923076923076925,5.923076923076923,6.384615384615385,6.076923076923077,6.615384615384615,4.384615384615385,5.0
205,0.0,0.0,7.0,8.0,10.0,9.0,5.0,15.379999999999999,17.31,19.23,19.23,11.54,17.31,6.076923076923077,6.461538461538462,6.615384615384615,5.923076923076923,5.384615384615385,5.076923076923077,5.769230769230769
207,0.0,0.23076923076923078,8.0,8.0,8.0,10.0,9.0,17.31,13.46,17.31,19.23,19.23,13.46,8.538461538461538,6.6923076923076925,7.0,8.0,6.461538461538462,6.153846153846154,7.538461538461538
210,0.0,0.0,8.0,8.0,9.0,6.0,9.0,20.0,15.56,20.0,15.56,11.110000000000001,17.78,5.846153846153846,7.153846153846154,7.6923076923076925,6.3076923076923075,6.153846153846154,6.0,6.6923076923076925
211,0.0,0.15384615384615385,7.0,9.0,9.0,9.0,9.0,16.36,16.36,18.18,18.18,16.36,14.55,7.153846153846154,6.384615384615385,6.769230769230769,5.615384615384615,6.230769230769231,5.461538461538462,6.0
212,0.0,0.5,7.0,9.0,8.0,7.0,9.0,14.29,18.37,18.37,16.33,18.37,14.29,4.5,6.5,6.0,6.5,6.0,7.0,5.5
213,0.0,0.0,8.0,10.0,9.0,9.0,9.0,15.52,17.24,17.24,17.24,17.24,15.52,7.0,7.0,7.5,7.0,7.0,6.5,7.0
214,1.0,0.09090909090909091,8.0,10.0,9.0,10.0,8.0,17.02,21.28,17.02,21.28,14.89,8.51,5.5,7.5,8.5,6.75,7.375,5.375,7.0
215,1.0,0.0,7.0,8.0,9.0,9.0,9.0,14.89,19.15,21.28,19.15,14.89,10.64,4.5,5.5,6.0,6.0,6.5,5.0,6.0
216,1.0,0.0,5.0,10.0,9.0,9.0,10.0,7.5,17.5,20.0,22.5,12.5,20.0,3.0,6.9,6.7,5.8,7.1,4.5,4.4
217,1.0,0.2727272727272727,7.0,10.0,10.0,7.0,10.0,21.28,17.02,21.28,12.77,6.38,21.28,8.444444444444445,7.888888888888889,9.555555555555555,7.444444444444445,9.444444444444445,6.777777777777778,7.0
218,1.0,0.0,7.0,6.0,10.0,3.0,10.0,20.51,5.13,23.08,12.82,17.95,20.51,5.375,8.375,9.125,5.25,8.625,5.25,5.875
219,1.0,0.3,7.0,7.0,9.0,6.0,6.0,16.28,16.28,18.6,16.28,16.28,16.28,7.75,8.75,8.625,8.375,7.875,7.375,7.875
220,1.0,0.0,10.0,10.0,10.0,10.0,10.0,16.67,16.67,16.67,16.67,14.81,18.52,7.0,7.0,7.0,7.0,7.0,5.0,4.0
