iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,group,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb
174,188.0,8.0,0.0,0.0,9.0,10.0,8.0,8.0,6.0,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,2.0,9.52,23.81,16.67,16.67,16.67
175,189.0,8.0,0.0,0.0,7.0,10.0,8.0,8.0,9.0,16.98,16.98,16.98,16.98,16.98,2.0,12.24,20.41,16.33,14.29,20.41
176,188.0,8.0,0.0,0.3333333333333333,6.0,9.0,8.0,7.0,6.0,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,2.0,13.04,21.74,19.57,17.39,15.22
177,188.66666666666666,8.0,0.0,0.0,9.0,9.0,9.0,8.0,9.0,17.465,17.463333333333335,18.905,17.463333333333335,16.101666666666667,2.0,15.089999999999998,16.98,16.98,16.98,18.87
178,188.0,8.0,0.0,0.3333333333333333,9.0,9.0,8.0,7.0,7.0,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,2.0,15.22,17.39,17.39,17.39,15.22
180,188.0,8.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,2.0,15.38,17.31,17.31,19.23,13.46
183,188.66666666666666,8.0,0.0,0.16666666666666666,9.0,7.0,9.0,9.0,7.0,17.465,17.463333333333335,18.905,17.463333333333335,16.101666666666667,2.0,20.0,22.5,17.5,22.5,10.0
184,180.0,8.0,1.0,0.5,6.0,10.0,9.0,7.0,5.0,17.545,19.740000000000002,17.240000000000002,19.740000000000002,14.435,2.0,16.67,16.67,16.67,16.67,16.67
185,177.0,8.0,1.0,0.0,10.0,10.0,8.0,7.0,8.0,13.29,20.0625,17.735,17.67,15.142500000000002,2.0,16.98,15.09,16.98,16.98,18.87
186,177.0,8.0,1.0,0.5,4.0,8.0,7.0,4.0,6.0,13.29,20.0625,17.735,17.67,15.142500000000002,2.0,19.44,19.44,22.22,16.67,11.11
187,180.0,8.0,1.0,0.0,8.0,9.0,10.0,7.0,7.0,17.545,19.740000000000002,17.240000000000002,19.740000000000002,14.435,2.0,16.98,16.98,18.87,16.98,13.21
188,180.0,8.0,1.0,0.0,7.0,5.0,10.0,7.0,10.0,17.545,19.740000000000002,17.240000000000002,19.740000000000002,14.435,2.0,15.56,11.11,22.22,15.56,20.0
189,175.0,8.0,1.0,0.0,8.0,8.0,8.0,8.0,9.0,12.24,20.41,16.33,14.29,20.41,2.0,16.98,16.98,16.98,16.98,16.98
190,180.0,8.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,17.545,19.740000000000002,17.240000000000002,19.740000000000002,14.435,2.0,15.56,20.0,20.0,20.0,13.33
191,180.0,8.0,1.0,0.0,7.0,7.0,7.0,6.0,8.0,17.545,19.740000000000002,17.240000000000002,19.740000000000002,14.435,2.0,20.45,20.45,20.45,18.18,18.18
192,180.0,8.0,1.0,0.0,7.0,10.0,9.0,9.0,10.0,17.545,19.740000000000002,17.240000000000002,19.740000000000002,14.435,2.0,19.57,19.57,15.22,17.39,15.22
193,177.0,8.0,1.0,0.0,7.0,9.0,10.0,5.0,7.0,13.29,20.0625,17.735,17.67,15.142500000000002,2.0,20.93,16.28,23.26,16.28,11.63
194,222.84615384615384,9.0,0.0,0.0,9.0,10.0,10.0,8.0,10.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,16.0,16.0,20.0,16.0,18.0
195,222.84615384615384,9.0,0.0,0.15384615384615385,9.0,8.0,10.0,10.0,8.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,15.379999999999999,19.23,19.23,19.23,13.46
196,224.25,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,14.49,18.9625,19.67,16.61,15.045,2.0,17.65,17.65,17.65,15.69,15.69
197,220.0,9.0,0.0,0.0,7.0,8.0,9.0,9.0,7.0,16.67,16.67,16.67,16.67,14.81,2.0,14.0,18.0,20.0,18.0,16.0
198,224.25,9.0,0.0,0.0,7.0,9.0,9.0,7.0,7.0,14.49,18.9625,19.67,16.61,15.045,2.0,15.38,19.23,17.31,19.23,9.62
199,222.84615384615384,9.0,0.0,0.23076923076923078,9.0,7.0,9.0,7.0,9.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,17.5,17.5,20.0,12.5,20.0
200,222.84615384615384,9.0,0.0,0.23076923076923078,8.0,10.0,8.0,8.0,8.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,13.21,18.87,18.87,16.98,16.98
201,222.84615384615384,9.0,0.0,0.07692307692307693,7.0,8.0,9.0,9.0,8.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,15.379999999999999,17.31,17.31,17.31,17.31
202,222.84615384615384,9.0,0.0,0.07692307692307693,7.0,10.0,10.0,9.0,8.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,15.379999999999999,19.23,19.23,19.23,15.379999999999999
203,222.84615384615384,9.0,0.0,0.0,9.0,8.0,10.0,9.0,7.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,16.0,20.0,18.0,20.0,18.0
204,222.84615384615384,9.0,0.0,0.0,9.0,5.0,10.0,9.0,10.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,19.61,15.69,17.65,15.69,17.65
205,222.84615384615384,9.0,0.0,0.0,7.0,8.0,10.0,9.0,5.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,15.379999999999999,17.31,19.23,19.23,11.54
207,222.84615384615384,9.0,0.0,0.23076923076923078,8.0,8.0,8.0,10.0,9.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,17.31,13.46,17.31,19.23,19.23
210,222.84615384615384,9.0,0.0,0.15384615384615385,8.0,8.0,9.0,6.0,9.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,20.0,15.56,20.0,15.56,11.110000000000001
211,222.84615384615384,9.0,0.0,0.15384615384615385,7.0,9.0,9.0,9.0,9.0,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384615,11.637692307692307,2.0,16.36,16.36,18.18,18.18,16.36
212,228.0,9.0,0.0,0.5,7.0,9.0,8.0,7.0,9.0,16.655,17.82,18.985,18.985,11.46,2.0,14.29,18.37,18.37,16.33,18.37
