,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,group
5744,379,397.0,15,0,0,6.0,9.0,8.0,6.0,9.0,20.0,21.0,21.0,22.0,6.0,3
5745,379,398.0,15,0,0,6.0,9.0,8.0,6.0,9.0,45.0,10.0,10.0,30.0,0.0,3
5746,379,399.0,15,0,0,6.0,9.0,8.0,6.0,9.0,25.0,10.0,20.0,20.0,10.0,3
5747,379,400.0,15,0,1,6.0,9.0,8.0,6.0,9.0,70.0,5.0,20.0,3.0,1.0,3
5748,379,401.0,15,0,0,6.0,9.0,8.0,6.0,9.0,35.0,0.0,25.0,20.0,0.0,3
5750,379,403.0,15,0,0,6.0,9.0,8.0,6.0,9.0,20.0,25.0,20.0,15.0,5.0,3
5751,379,404.0,15,0,0,6.0,9.0,8.0,6.0,9.0,25.0,14.0,25.0,25.0,3.0,3
5754,379,407.0,15,0,0,6.0,9.0,8.0,6.0,9.0,30.0,15.0,15.0,15.0,15.0,3
5756,379,409.0,15,0,0,6.0,9.0,8.0,6.0,9.0,20.0,15.0,20.0,20.0,10.0,3
5757,379,410.0,15,0,0,6.0,9.0,8.0,6.0,9.0,20.0,20.0,20.0,20.0,10.0,3
5758,379,411.0,15,0,0,6.0,9.0,8.0,6.0,9.0,35.0,15.0,15.0,25.0,10.0,3
5759,379,412.0,15,0,0,6.0,9.0,8.0,6.0,9.0,75.0,5.0,5.0,5.0,5.0,3
5760,379,413.0,15,0,0,6.0,9.0,8.0,6.0,9.0,10.0,10.0,30.0,30.0,5.0,3
5761,379,414.0,15,0,0,6.0,9.0,8.0,6.0,9.0,95.0,1.0,1.0,1.0,1.0,3
5762,379,415.0,15,0,0,6.0,9.0,8.0,6.0,9.0,10.0,20.0,40.0,10.0,10.0,3
5771,380,405.0,15,0,0,4.0,7.0,9.0,9.0,9.0,30.0,25.0,20.0,15.0,5.0,3
5782,381,397.0,15,0,0,7.0,7.0,9.0,10.0,8.0,20.0,21.0,21.0,22.0,6.0,3
5783,381,398.0,15,0,0,7.0,7.0,9.0,10.0,8.0,45.0,10.0,10.0,30.0,0.0,3
5784,381,399.0,15,0,0,7.0,7.0,9.0,10.0,8.0,25.0,10.0,20.0,20.0,10.0,3
5785,381,400.0,15,0,0,7.0,7.0,9.0,10.0,8.0,70.0,5.0,20.0,3.0,1.0,3
5786,381,401.0,15,0,0,7.0,7.0,9.0,10.0,8.0,35.0,0.0,25.0,20.0,0.0,3
5788,381,403.0,15,0,0,7.0,7.0,9.0,10.0,8.0,20.0,25.0,20.0,15.0,5.0,3
5789,381,404.0,15,0,0,7.0,7.0,9.0,10.0,8.0,25.0,14.0,25.0,25.0,3.0,3
5792,381,407.0,15,0,0,7.0,7.0,9.0,10.0,8.0,30.0,15.0,15.0,15.0,15.0,3
5794,381,409.0,15,0,1,7.0,7.0,9.0,10.0,8.0,20.0,15.0,20.0,20.0,10.0,3
