,iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha
0,1,0.0,100.0,6.0,8.0,8.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0
1,2,0.0,25.0,7.0,5.0,8.0,10.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0
2,3,0.0,0.0,8.0,9.0,9.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0
3,4,0.0,25.0,7.0,8.0,7.0,9.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0
4,5,0.0,25.0,6.0,3.0,10.0,6.0,8.0,20.0,5.0,25.0,25.0,10.0,15.0
5,6,0.0,0.0,5.0,7.0,9.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0
6,7,0.0,0.0,6.0,6.0,7.0,5.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0
7,8,0.0,75.0,7.0,4.0,8.0,8.0,8.0,9.09,18.18,27.27,18.18,18.18,9.09
8,10,0.0,12.5,6.0,8.0,6.0,10.0,9.0,15.0,15.0,15.0,40.0,10.0,5.0
9,11,1.0,0.0,8.0,9.0,8.0,7.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0
10,12,1.0,16.66666666666666,9.0,9.0,10.0,9.0,9.0,60.0,0.0,0.0,40.0,0.0,0.0
11,13,1.0,33.33333333333333,4.0,7.0,8.0,8.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0
12,14,1.0,66.66666666666666,9.0,9.0,9.0,9.0,9.0,30.0,5.0,15.0,40.0,5.0,5.0
13,16,1.0,16.66666666666666,6.0,6.0,8.0,8.0,6.0,50.0,0.0,30.0,10.0,0.0,10.0
14,17,1.0,0.0,7.0,7.0,8.0,6.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0
15,18,1.0,16.66666666666666,6.0,8.0,8.0,6.0,9.0,33.33,11.11,11.11,11.11,11.11,22.22
16,19,1.0,83.33333333333334,10.0,6.0,10.0,10.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0
17,20,1.0,16.66666666666666,7.0,7.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0
18,21,0.0,0.0,5.0,9.0,9.0,7.0,10.0,12.0,18.0,20.0,16.0,16.0,18.0
