,iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like
0,1,0.0,100.0,6.0,8.0,8.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,2,0.0,25.0,7.0,5.0,8.0,10.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0,7.125,6.375,7.375,6.875,7.25,5.875,7.0
2,3,0.0,0.0,8.0,9.0,9.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,6.125,6.375,6.875,5.75,6.75,5.5,5.5
3,4,0.0,25.0,7.0,8.0,7.0,9.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,6.5,6.625,7.25,7.125,7.375,6.625,6.75
4,5,0.0,25.0,6.0,3.0,10.0,6.0,8.0,20.0,5.0,25.0,25.0,10.0,15.0,4.75,7.25,7.125,6.875,7.375,5.875,5.75
5,6,0.0,0.0,5.0,7.0,9.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
6,7,0.0,0.0,6.0,6.0,7.0,5.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7,8,0.0,75.0,7.0,4.0,8.0,8.0,8.0,9.09,18.18,27.27,18.18,18.18,9.09,7.875,7.375,7.875,7.5,7.125,6.375,7.25
8,10,0.0,50.0,6.0,8.0,6.0,10.0,9.0,15.0,15.0,15.0,40.0,10.0,5.0,5.857142857142857,6.142857142857143,5.428571428571429,5.714285714285714,5.285714285714286,5.0,5.428571428571429
9,11,1.0,0.0,8.0,9.0,8.0,7.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,5.2,8.4,8.2,4.4,6.2,5.2,6.2
10,12,1.0,16.66666666666666,9.0,9.0,10.0,9.0,9.0,60.0,0.0,0.0,40.0,0.0,0.0,8.2,6.4,7.2,7.6,7.2,6.6,7.4
11,13,1.0,33.33333333333333,4.0,7.0,8.0,8.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.666666666666666,6.333333333333333,5.333333333333333,5.666666666666667,6.666666666666667
12,14,1.0,66.66666666666666,9.0,9.0,9.0,9.0,9.0,30.0,5.0,15.0,40.0,5.0,5.0,8.0,7.4,6.6,7.2,6.8,7.6,7.2
13,16,1.0,20.0,6.0,6.0,8.0,8.0,6.0,50.0,0.0,30.0,10.0,0.0,10.0,6.4,8.2,8.2,4.8,7.2,5.6,6.2
14,17,1.0,0.0,7.0,7.0,8.0,6.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,6.8,7.4,9.0,6.0,7.2,7.2,6.6
15,18,1.0,16.66666666666666,6.0,8.0,8.0,6.0,9.0,33.33,11.11,11.11,11.11,11.11,22.22,5.4,7.4,7.8,5.6,7.8,6.0,6.0
16,19,1.0,83.33333333333334,10.0,6.0,10.0,10.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,8.166666666666666,7.5,8.0,9.0,7.333333333333333,8.166666666666666,7.833333333333333
17,20,1.0,16.66666666666666,7.0,7.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,7.333333333333333,8.333333333333334,8.333333333333334,8.166666666666666,7.333333333333333,8.833333333333334
18,21,0.0,0.0,5.0,9.0,9.0,7.0,10.0,12.0,18.0,20.0,16.0,16.0,18.0,4.0,9.0,9.0,5.0,6.333333333333333,4.333333333333333,5.333333333333333
19,22,0.0,0.0,7.0,8.0,8.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,5.0,8.0,9.0,7.0,10.0,8.0,7.0
20,23,0.0,0.0,5.0,8.0,7.0,6.0,8.0,10.0,20.0,40.0,10.0,10.0,10.0,6.0,6.0,5.5,6.5,5.5,3.0,3.5
21,24,0.0,0.0,7.0,9.0,8.0,9.0,8.0,10.0,20.0,20.0,15.0,20.0,15.0,6.555555555555555,6.555555555555555,7.333333333333333,6.222222222222222,6.555555555555555,5.666666666666667,6.222222222222222
22,25,0.0,0.0,7.0,9.0,8.0,7.0,6.0,20.0,20.0,15.0,15.0,15.0,15.0,7.666666666666667,6.666666666666667,6.777777777777778,7.0,5.666666666666667,4.555555555555555,6.722222222222222
23,26,0.0,0.0,7.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,15.0,15.0,10.0,7.555555555555555,6.666666666666667,7.222222222222222,7.222222222222222,6.111111111111111,5.777777777777778,7.277777777777778
24,29,0.0,33.33333333333333,6.0,9.0,7.0,8.0,8.0,20.0,22.0,18.0,15.0,15.0,10.0,5.7,7.0,6.4,6.0,6.4,4.7,6.1
25,30,0.0,0.0,7.0,8.0,8.0,9.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0,5.777777777777778,6.444444444444445,7.0,5.555555555555555,6.777777777777778,4.666666666666667,5.777777777777778
26,31,0.0,10.0,8.0,8.0,8.0,9.0,9.0,35.0,10.0,20.0,20.0,10.0,5.0,7.888888888888889,7.111111111111111,7.333333333333333,6.222222222222222,6.888888888888889,5.888888888888889,7.222222222222222
27,32,0.0,0.0,7.0,5.0,9.0,9.0,7.0,50.0,0.0,50.0,0.0,0.0,0.0,6.666666666666667,8.666666666666666,9.333333333333334,7.333333333333333,8.333333333333334,4.666666666666667,5.333333333333333
28,33,0.0,0.0,6.0,8.0,8.0,6.0,8.0,30.0,20.0,30.0,10.0,0.0,10.0,5.555555555555555,7.0,7.333333333333333,6.0,6.666666666666667,5.777777777777778,5.888888888888889
29,34,0.0,50.0,7.0,7.0,7.0,7.0,8.0,30.0,5.0,30.0,15.0,15.0,5.0,7.333333333333333,8.0,6.666666666666667,6.666666666666667,6.333333333333333,4.333333333333333,5.333333333333333
30,35,0.0,30.0,8.0,9.0,9.0,9.0,7.0,20.0,23.0,23.0,22.0,7.0,5.0,7.555555555555555,6.222222222222222,7.666666666666667,5.222222222222222,7.0,5.222222222222222,6.222222222222222
31,36,0.0,10.0,8.0,7.0,8.0,8.0,6.0,20.0,25.0,20.0,15.0,15.0,5.0,6.5,6.8,7.0,5.9,6.9,5.2,6.2
32,37,0.0,20.0,7.0,8.0,9.0,7.0,5.0,10.0,10.0,30.0,25.0,10.0,15.0,4.888888888888889,7.111111111111111,7.111111111111111,5.555555555555555,6.666666666666667,5.666666666666667,6.111111111111111
33,38,0.0,100.0,8.0,2.0,8.0,7.0,8.0,50.0,10.0,20.0,10.0,10.0,0.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
34,40,1.0,0.0,3.0,10.0,9.0,8.0,5.0,25.0,20.0,25.0,20.0,10.0,0.0,5.5,7.5,6.5,7.5,5.5,7.0,8.5
35,42,1.0,0.0,6.0,9.0,8.0,6.0,4.0,20.0,25.0,20.0,15.0,10.0,10.0,6.333333333333333,6.333333333333333,6.666666666666667,6.666666666666667,6.666666666666667,6.0,6.833333333333333
36,43,1.0,0.0,3.0,8.0,7.0,3.0,2.0,25.0,35.0,30.0,10.0,0.0,0.0,3.75,5.625,6.625,3.875,6.25,4.0,4.375
37,44,1.0,22.22222222222222,7.0,9.0,9.0,8.0,9.0,25.0,15.0,25.0,25.0,15.0,15.0,5.0,6.333333333333333,6.555555555555555,4.666666666666667,6.444444444444445,4.0,5.111111111111111
38,45,1.0,20.0,7.0,8.0,8.0,6.0,7.0,25.0,15.0,25.0,15.0,0.0,20.0,5.0,5.888888888888889,6.666666666666667,3.4444444444444446,6.555555555555555,4.333333333333333,4.888888888888889
39,46,1.0,10.0,7.0,8.0,7.0,5.0,7.0,20.0,35.0,20.0,10.0,10.0,5.0,7.125,6.25,7.25,6.25,6.25,5.125,6.375
40,47,1.0,0.0,8.0,7.0,9.0,9.0,3.0,20.0,20.0,25.0,25.0,5.0,5.0,3.4444444444444446,5.444444444444445,6.333333333333333,5.555555555555555,6.444444444444445,4.555555555555555,5.222222222222222
41,48,1.0,0.0,7.0,9.0,7.0,6.0,6.0,30.0,15.0,25.0,25.0,5.0,0.0,7.0,6.333333333333333,6.111111111111111,7.0,5.888888888888889,5.888888888888889,6.444444444444445
42,49,1.0,25.0,7.0,10.0,10.0,10.0,8.0,20.0,20.0,20.0,20.0,5.0,15.0,7.25,8.0,8.25,8.0,7.25,6.75,7.75
43,51,1.0,10.0,6.0,8.0,10.0,2.0,2.0,25.0,10.0,35.0,15.0,0.0,15.0,6.0,5.444444444444445,6.555555555555555,4.333333333333333,6.444444444444445,5.333333333333333,5.333333333333333
44,52,1.0,10.0,5.0,8.0,8.0,6.0,7.0,15.0,20.0,15.0,30.0,5.0,15.0,4.111111111111111,6.777777777777778,7.333333333333333,5.444444444444445,6.111111111111111,5.666666666666667,6.0
45,53,1.0,10.0,8.0,9.0,8.0,8.0,8.0,40.0,15.0,20.0,10.0,5.0,10.0,7.375,7.5,7.5,6.125,7.25,5.5,6.9375
46,54,1.0,0.0,8.0,9.0,8.0,8.0,8.0,40.0,20.0,20.0,20.0,0.0,0.0,4.222222222222222,6.0,6.444444444444445,4.111111111111111,6.111111111111111,5.111111111111111,5.0
47,55,1.0,50.0,6.0,10.0,9.0,10.0,10.0,20.0,25.0,25.0,10.0,10.0,10.0,7.0,7.5,7.5,7.5,8.0,7.5,8.0
48,56,0.0,33.33333333333333,10.0,10.0,8.0,9.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,7.8,7.8,7.2,7.0,7.4,5.2,6.8
49,57,0.0,16.66666666666666,6.0,10.0,9.0,10.0,10.0,10.0,20.0,20.0,20.0,15.0,15.0,5.8,7.8,7.0,6.4,6.4,5.4,6.4
