,iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like,condtn,round,int_corr,age_o,age,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
0,1,0.0,100.0,6.0,8.0,8.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,0.16,21.0,22.0,19.0,18.0,19.0,18.0,14.0,12.0,25.0,10.0,10.0,15.0,10.0,10.0,20.0,16.0,16.0,18.0,16.0,14.0,7.0,8.0,8.0,8.0,8.0
1,2,0.0,25.0,7.0,5.0,8.0,10.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0,7.125,6.375,7.375,6.875,7.25,5.875,7.0,1.0,10.0,0.27,24.0,25.75,49.16625,6.38875,15.76375,17.63875,2.63875,8.4025,25.0,10.0,10.0,15.0,10.0,10.0,30.625,11.875,20.625,16.25,13.125,7.5,7.0,8.0,8.0,8.0,8.0
2,3,0.0,0.0,8.0,9.0,9.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,6.125,6.375,6.875,5.75,6.75,5.5,5.5,1.0,10.0,-0.16375,25.0,25.75,49.16625,6.38875,15.76375,17.63875,2.63875,8.4025,25.0,10.0,10.0,15.0,10.0,10.0,30.625,11.875,20.625,16.25,13.125,7.5,7.0,8.0,8.0,8.0,8.0
3,4,0.0,25.0,7.0,8.0,7.0,9.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,6.5,6.625,7.25,7.125,7.375,6.625,6.75,1.0,10.0,-0.04125,23.0,25.75,49.16625,6.38875,15.76375,17.63875,2.63875,8.4025,25.0,10.0,10.0,15.0,10.0,10.0,30.625,11.875,20.625,16.25,13.125,7.5,7.0,8.0,8.0,8.0,8.0
4,5,0.0,25.0,6.0,3.0,10.0,6.0,8.0,20.0,5.0,25.0,25.0,10.0,15.0,4.75,7.25,7.125,6.875,7.375,5.875,5.75,1.0,10.0,-0.0574999999999999,21.0,25.75,49.16625,6.38875,15.76375,17.63875,2.63875,8.4025,25.0,10.0,10.0,15.0,10.0,10.0,30.625,11.875,20.625,16.25,13.125,7.5,7.0,8.0,8.0,8.0,8.0
5,6,0.0,0.0,5.0,7.0,9.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,-0.51,23.0,22.0,19.0,18.0,19.0,18.0,14.0,12.0,25.0,10.0,10.0,15.0,10.0,10.0,20.0,16.0,16.0,18.0,16.0,14.0,7.0,8.0,8.0,8.0,8.0
6,7,0.0,0.0,6.0,6.0,7.0,5.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,0.52,22.0,22.0,19.0,18.0,19.0,18.0,14.0,12.0,25.0,10.0,10.0,15.0,10.0,10.0,20.0,16.0,16.0,18.0,16.0,14.0,7.0,8.0,8.0,8.0,8.0
7,8,0.0,75.0,7.0,4.0,8.0,8.0,8.0,9.09,18.18,27.27,18.18,18.18,9.09,7.875,7.375,7.875,7.5,7.125,6.375,7.25,1.0,10.0,-0.09,25.0,25.75,49.16625,6.38875,15.76375,17.63875,2.63875,8.4025,25.0,10.0,10.0,15.0,10.0,10.0,30.625,11.875,20.625,16.25,13.125,7.5,7.0,8.0,8.0,8.0,8.0
8,10,0.0,12.5,6.0,8.0,6.0,10.0,9.0,15.0,15.0,15.0,40.0,10.0,5.0,5.875,6.375,5.625,5.875,5.5,5.25,5.5,1.0,10.0,0.29,26.0,25.75,49.16625,6.38875,15.76375,17.63875,2.63875,8.4025,25.0,10.0,10.0,15.0,10.0,10.0,30.625,11.875,20.625,16.25,13.125,7.5,7.0,8.0,8.0,8.0,8.0
9,11,1.0,0.0,8.0,9.0,8.0,7.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,5.333333333333333,8.666666666666666,8.5,4.666666666666667,6.166666666666667,5.333333333333333,6.166666666666667,1.0,10.0,-0.0483333333333333,27.0,24.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,7.348333333333334,25.0,10.0,10.0,15.0,10.0,10.0,45.0,6.666666666666667,15.0,25.83333333333333,3.333333333333333,4.166666666666667,7.0,8.0,8.0,8.0,8.0
10,12,1.0,16.66666666666666,9.0,9.0,10.0,9.0,9.0,60.0,0.0,0.0,40.0,0.0,0.0,7.0,5.5,6.166666666666667,6.5,6.166666666666667,6.5,6.333333333333333,1.0,10.0,0.0666666666666666,22.0,24.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,7.348333333333334,25.0,10.0,10.0,15.0,10.0,10.0,45.0,6.666666666666667,15.0,25.83333333333333,3.333333333333333,4.166666666666667,7.0,8.0,8.0,8.0,8.0
