,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
2,0,1,6.0,8.0,8.0,8.0,7.0,,,,,
10,0,0,7.0,5.0,8.0,10.0,3.0,,,,,
11,0,0,7.0,5.0,8.0,10.0,3.0,,,,,
13,0,1,7.0,5.0,8.0,10.0,3.0,,,,,
15,0,0,7.0,5.0,8.0,10.0,3.0,,,,,
16,0,0,7.0,5.0,8.0,10.0,3.0,,,,,
17,0,0,7.0,5.0,8.0,10.0,3.0,,,,,
18,0,1,7.0,5.0,8.0,10.0,3.0,,,,,
19,0,0,7.0,5.0,8.0,10.0,3.0,,,,,
20,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
21,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
23,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
25,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
26,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
27,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
28,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
29,0,0,8.0,9.0,9.0,8.0,8.0,,,,,
30,0,0,7.0,8.0,7.0,9.0,8.0,,,,,
31,0,0,7.0,8.0,7.0,9.0,8.0,,,,,
33,0,1,7.0,8.0,7.0,9.0,8.0,,,,,
35,0,0,7.0,8.0,7.0,9.0,8.0,,,,,
36,0,0,7.0,8.0,7.0,9.0,8.0,,,,,
37,0,0,7.0,8.0,7.0,9.0,8.0,,,,,
38,0,1,7.0,8.0,7.0,9.0,8.0,,,,,
39,0,0,7.0,8.0,7.0,9.0,8.0,,,,,
40,0,0,6.0,3.0,10.0,6.0,8.0,,,,,
41,0,0,6.0,3.0,10.0,6.0,8.0,,,,,
43,0,1,6.0,3.0,10.0,6.0,8.0,,,,,
45,0,0,6.0,3.0,10.0,6.0,8.0,,,,,
46,0,0,6.0,3.0,10.0,6.0,8.0,,,,,
47,0,0,6.0,3.0,10.0,6.0,8.0,,,,,
48,0,1,6.0,3.0,10.0,6.0,8.0,,,,,
49,0,0,6.0,3.0,10.0,6.0,8.0,,,,,
52,0,0,5.0,7.0,9.0,8.0,5.0,,,,,
62,0,0,6.0,6.0,7.0,5.0,7.0,,,,,
70,0,0,7.0,4.0,8.0,8.0,8.0,,,,,
71,0,1,7.0,4.0,8.0,8.0,8.0,,,,,
73,0,1,7.0,4.0,8.0,8.0,8.0,,,,,
75,0,1,7.0,4.0,8.0,8.0,8.0,,,,,
76,0,0,7.0,4.0,8.0,8.0,8.0,,,,,
77,0,1,7.0,4.0,8.0,8.0,8.0,,,,,
78,0,1,7.0,4.0,8.0,8.0,8.0,,,,,
79,0,1,7.0,4.0,8.0,8.0,8.0,,,,,
90,0,0,6.0,8.0,6.0,10.0,9.0,,,,,
91,0,0,6.0,8.0,6.0,10.0,9.0,,,,,
93,0,0,6.0,8.0,6.0,10.0,9.0,,,,,
95,0,0,6.0,8.0,6.0,10.0,9.0,,,,,
96,0,0,6.0,8.0,6.0,10.0,9.0,,,,,
97,0,0,6.0,8.0,6.0,10.0,9.0,,,,,
98,0,1,6.0,8.0,6.0,10.0,9.0,,,,,
99,0,0,6.0,8.0,6.0,10.0,9.0,,,,,
101,1,0,8.0,9.0,8.0,7.0,5.0,,,,,
102,1,0,8.0,9.0,8.0,7.0,5.0,,,,,
103,1,0,8.0,9.0,8.0,7.0,5.0,,,,,
104,1,0,8.0,9.0,8.0,7.0,5.0,,,,,
107,1,0,8.0,9.0,8.0,7.0,5.0,,,,,
109,1,0,8.0,9.0,8.0,7.0,5.0,,,,,
111,1,0,9.0,9.0,10.0,9.0,9.0,,,,,
112,1,0,9.0,9.0,10.0,9.0,9.0,,,,,
113,1,0,9.0,9.0,10.0,9.0,9.0,,,,,
114,1,0,9.0,9.0,10.0,9.0,9.0,,,,,
117,1,1,9.0,9.0,10.0,9.0,9.0,,,,,
119,1,0,9.0,9.0,10.0,9.0,9.0,,,,,
120,1,1,4.0,7.0,8.0,8.0,3.0,,,,,
125,1,0,4.0,7.0,8.0,8.0,3.0,,,,,
126,1,0,4.0,7.0,8.0,8.0,3.0,,,,,
131,1,1,9.0,9.0,9.0,9.0,9.0,,,,,
132,1,0,9.0,9.0,9.0,9.0,9.0,,,,,
133,1,1,9.0,9.0,9.0,9.0,9.0,,,,,
134,1,1,9.0,9.0,9.0,9.0,9.0,,,,,
137,1,1,9.0,9.0,9.0,9.0,9.0,,,,,
139,1,0,9.0,9.0,9.0,9.0,9.0,,,,,
151,1,0,6.0,6.0,8.0,8.0,6.0,,,,,
152,1,0,6.0,6.0,8.0,8.0,6.0,,,,,
153,1,0,6.0,6.0,8.0,8.0,6.0,,,,,
154,1,0,6.0,6.0,8.0,8.0,6.0,,,,,
157,1,1,6.0,6.0,8.0,8.0,6.0,,,,,
159,1,0,6.0,6.0,8.0,8.0,6.0,,,,,
161,1,0,7.0,7.0,8.0,6.0,4.0,,,,,
162,1,0,7.0,7.0,8.0,6.0,4.0,,,,,
163,1,0,7.0,7.0,8.0,6.0,4.0,,,,,
164,1,0,7.0,7.0,8.0,6.0,4.0,,,,,
167,1,0,7.0,7.0,8.0,6.0,4.0,,,,,
169,1,0,7.0,7.0,8.0,6.0,4.0,,,,,
171,1,0,6.0,8.0,8.0,6.0,9.0,,,,,
172,1,0,6.0,8.0,8.0,6.0,9.0,,,,,
173,1,0,6.0,8.0,8.0,6.0,9.0,,,,,
174,1,0,6.0,8.0,8.0,6.0,9.0,,,,,
177,1,1,6.0,8.0,8.0,6.0,9.0,,,,,
179,1,0,6.0,8.0,8.0,6.0,9.0,,,,,
181,1,1,10.0,6.0,10.0,10.0,10.0,,,,,
182,1,0,10.0,6.0,10.0,10.0,10.0,,,,,
183,1,1,10.0,6.0,10.0,10.0,10.0,,,,,
184,1,1,10.0,6.0,10.0,10.0,10.0,,,,,
187,1,1,10.0,6.0,10.0,10.0,10.0,,,,,
189,1,1,10.0,6.0,10.0,10.0,10.0,,,,,
191,1,0,7.0,7.0,10.0,10.0,10.0,,,,,
192,1,0,7.0,7.0,10.0,10.0,10.0,,,,,
193,1,0,7.0,7.0,10.0,10.0,10.0,,,,,
194,1,0,7.0,7.0,10.0,10.0,10.0,,,,,
197,1,1,7.0,7.0,10.0,10.0,10.0,,,,,
199,1,0,7.0,7.0,10.0,10.0,10.0,,,,,
200,0,0,5.0,9.0,9.0,7.0,10.0,,,,,
201,0,0,5.0,9.0,9.0,7.0,10.0,,,,,
202,0,0,5.0,9.0,9.0,7.0,10.0,,,,,
209,0,0,5.0,9.0,9.0,7.0,10.0,,,,,
226,0,0,7.0,8.0,8.0,7.0,7.0,,,,,
231,0,0,7.0,8.0,8.0,7.0,7.0,,,,,
232,0,0,5.0,8.0,7.0,6.0,8.0,,,,,
233,0,0,5.0,8.0,7.0,6.0,8.0,,,,,
234,0,0,5.0,8.0,7.0,6.0,8.0,,,,,
241,0,0,5.0,8.0,7.0,6.0,8.0,,,,,
251,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
252,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
253,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
254,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
255,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
256,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
259,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
260,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
261,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
262,0,0,7.0,9.0,8.0,9.0,8.0,,,,,
267,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
268,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
269,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
270,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
271,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
272,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
275,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
276,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
277,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
278,0,0,7.0,9.0,8.0,7.0,6.0,,,,,
283,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
284,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
285,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
286,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
287,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
288,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
291,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
292,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
293,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
294,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
331,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
332,0,1,6.0,9.0,7.0,8.0,8.0,,,,,
333,0,1,6.0,9.0,7.0,8.0,8.0,,,,,
334,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
335,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
336,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
339,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
340,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
